,_id,category_code,country_code,founded_year,geoloc,latitude,longitude,name,number_of_employees,total_money_raised,total_offices,nearest_offices,ranking
19,5d277baf5370f8e6fc94d8ad,games_video,USA,2007,"{'type': 'Point', 'coordinates': [-73.995625, 40.726155]}",40.726155,-73.995625,Livestream,120,$14.7M,1,5,2.5
209,5d277baf5370f8e6fc94d96b,advertising,USA,2005,"{'type': 'Point', 'coordinates': [-73.8731834, 41.0409527]}",41.0409527,-73.8731834,House Party,70,$9.95M,1,5,2.5
218,5d277baf5370f8e6fc94d974,software,USA,2003,"{'type': 'Point', 'coordinates': [-77.3563279, 38.9594124]}",38.9594124,-77.3563279,Bomgar,150,$11M,5,5,2.5
91,5d277baf5370f8e6fc94d8f5,web,USA,2006,"{'type': 'Point', 'coordinates': [-111.7276347, 40.3310529]}",40.3310529,-111.7276347,Footnote,66,$10M,1,5,2.5
149,5d277baf5370f8e6fc94d92f,network_hosting,USA,2004,"{'type': 'Point', 'coordinates': [-122.080843, 37.390918]}",37.390918,-122.080843,Centrify,160,$52M,2,5,2.5
182,5d277baf5370f8e6fc94d950,search,CAN,2006,"{'type': 'Point', 'coordinates': [-122.9153695, 49.2599284]}",49.2599284,-122.9153695,Canpages,400,$110M,1,5,2.5
213,5d277baf5370f8e6fc94d96f,mobile,USA,2007,"{'type': 'Point', 'coordinates': [-77.038605, 38.814329]}",38.814329,-77.038605,RideCharge,75,$8.6M,1,5,2.5
29,5d277baf5370f8e6fc94d8b7,advertising,USA,2006,"{'type': 'Point', 'coordinates': [-122.286493, 37.836957]}",37.836957,-122.286493,TubeMogul,230,$53.2M,1,5,2.5
230,5d277baf5370f8e6fc94d980,software,ARG,2004,"{'type': 'Point', 'coordinates': [-58.4541925, -34.5631882]}",-34.5631882,-58.4541925,Pontis,105,$34.7M,2,5,2.5
17,5d277baf5370f8e6fc94d8ab,software,GBR,2006,"{'type': 'Point', 'coordinates': [-0.1394759, 51.5170385]}",51.5170385,-0.1394759,spigit,120,$55.6M,3,4,2.0
109,5d277baf5370f8e6fc94d907,web,USA,2004,"{'type': 'Point', 'coordinates': [-73.983754, 40.761855]}",40.761855,-73.983754,Cellfish,220,$60M,1,4,2.0
33,5d277baf5370f8e6fc94d8bb,advertising,USA,2004,"{'type': 'Point', 'coordinates': [-122.401406, 37.78866]}",37.78866,-122.401406,Adknowledge,300,$248M,9,4,2.0
104,5d277baf5370f8e6fc94d902,analytics,USA,2006,"{'type': 'Point', 'coordinates': [-73.986243, 40.745559]}",40.745559,-73.986243,Networked Insights,130,$38.4M,3,4,2.0
190,5d277baf5370f8e6fc94d958,advertising,USA,2006,"{'type': 'Point', 'coordinates': [-105.278785, 40.058448]}",40.058448,-105.278785,Intela,70,$13.3M,4,4,2.0
98,5d277baf5370f8e6fc94d8fc,advertising,USA,2003,"{'type': 'Point', 'coordinates': [-118.151542, 34.143885]}",34.143885,-118.151542,SupplyFrame,60,$15.5M,1,4,2.0
89,5d277baf5370f8e6fc94d8f3,advertising,USA,2008,"{'type': 'Point', 'coordinates': [-122.397759, 37.787183]}",37.787183,-122.397759,LiveRail,110,$12M,1,4,2.0
226,5d277baf5370f8e6fc94d97c,software,GBR,2003,"{'type': 'Point', 'coordinates': [-0.1424094, 51.5209358]}",51.5209358,-0.1424094,Tribold,106,$28.1M,1,4,2.0
106,5d277baf5370f8e6fc94d904,web,USA,2007,"{'type': 'Point', 'coordinates': [-122.500111, 37.868002]}",37.868002,-122.500111,Glassdoor,180,$91.5M,1,4,2.0
102,5d277baf5370f8e6fc94d900,analytics,USA,2006,"{'type': 'Point', 'coordinates': [-87.634173, 41.879979]}",41.879979,-87.634173,Networked Insights,130,$38.4M,3,3,1.5
128,5d277baf5370f8e6fc94d91a,enterprise,BRA,2005,"{'type': 'Point', 'coordinates': [-43.954223, -19.815731]}",-19.815731,-43.954223,Samba Tech,60,$3M,1,3,1.5
135,5d277baf5370f8e6fc94d921,advertising,DEU,2008,"{'type': 'Point', 'coordinates': [13.4124563, 52.5283614]}",52.5283614,13.4124563,plista,100,$3.8M,1,3,1.5
144,5d277baf5370f8e6fc94d92a,ecommerce,USA,2007,"{'type': 'Point', 'coordinates': [-122.403175, 37.797435]}",37.797435,-122.403175,Minted,115,$52.7M,1,3,1.5
139,5d277baf5370f8e6fc94d925,advertising,SGP,2007,"{'type': 'Point', 'coordinates': [103.8508327, 1.2821008]}",1.2821008,103.8508327,Videoplaza,70,€15.9M,5,3,1.5
